Lune Jyder,Kjeld Lund (red), fra 1988 på forlaget Jyllands Posten,ISBN: 87-583-0406-1,33590.jpg,15,6,"Hft. 62sider med lune jydehistorier, illustreret med Roald Poulsens karakteristiske streg - fra bagsiden af Jyllandsposten. 96g.", Skønlitteratur, Humor,,,,,,,,,
Min lille verden i Tessin,Kathrin Rüegg, fra 1982 på forlaget Lademann,ISBN: 87-15-01191-7,33413.jpg,25,6,"At ""stå af ræset"", købe fire forfaldne huse på en bjergskråning i Tessin - skildres med smittende humor arbejdet og problemer med at gøre disse bygninger beboelige. Indb. 138sider, illustreret. 359g.", Studiebøger, Erindringer, Fortællinger,,,,,,,,
Mennesker mødes - og sød musik opstår i hjertet,Jens August Schade,6. udgave fra 1992 på forlaget Lindhardt og Ringhof,ISBN: 87-595-0205-3,33564.jpg,40,5,"Indb. 260sider, illustreret med tegninger. 510g.", Humor, Skønlitteratur,,,,,,,,,
MÆRSK - manden og magten,"Peter Suppli Benson, Bjørn Lambek og Stig Ørskov",3. udgave fra 2008 på forlaget Politiken,ISBN: 978-87-567-9237-0,33268.jpg,45,5,"Indb. 550sider, illustreret. 1062g.", Studiebøger, Biografier,,,,,,,,,
MÆRSK Mc-Kinney Møller - et personligt portræt af Danmarks største erhvervsmand,Thomas Larsen og Finn Mortensen,1. udgave fra 2008 på forlaget Gyldendal Business,ISBN: 978-87-02-07179-5,33797.jpg,45,6,"Indb. 301sider, illustreret. Som ny. 956g.", Erhverv, Erindringer, Biografier,,,,,,,,
Ponybogen,Dinny Lund,1. udgave fra 1987 på forlaget Clausen,ISBN: 87-11-04270-2,33269.jpg,30,6,"Hardback, 96sider, illustreret. Som ny. 300g.", Faglitteratur, Heste/Ridning,,,,,,,,,
Danmarkshistoriens HER SKETE DET,Palle Lauring, fra 1997 på forlaget Sesam (bogklubben 12bøger),ISBN: 87-604-0274-1,33757.jpg,40,5,Indb. 593sider.  Fin stand. 1254g., Studiebøger, Historie:Danmark,,,,,,,,,
Virksomhedsøkonomi og beslutningstagen,Preben Melander (red),1. udgave fra 1994 på forlaget Jurist- og Økonomforbundet,ISBN: 8757471002,33190.jpg,40,5,Hft. 459sider. Fin stand uden markeringer. 770g., Økonomi, Studiebøger,,,,,,,,,
Tankados Kode,Dan Brown,2. udgave fra 2007 på forlaget Hr. Ferdinand,ISBN: 9788791746345,33958.jpg,30,6,Hdb. 346sider. 618g., Romaner, Skønlitteratur,,,,,,,,,
Systemisk-Konstruktivistisk Pædagogik - et læredigt,Sverre Moe,1. udgave fra 2003 på forlaget Klim,ISBN: 8779551904,34032.jpg,45,6,Hft. 187sider. Som ny. 341g., Studiebøger, Pædagogik,,,,,,,,,
Vind freden - med nye initiativer til selvstændigt forsvar og en global etik,"Dietrich Fischer, Wilhelm Nolte, Jan Øberg", fra 1988 på forlaget Vindrose,ISBN: 8774562991,33730.jpg,30,4,Hft. 331sider. 627g., Udenlandsk militærhistorie, Samfundsvidenskab, Politik, Fremtid, Faglitteratur, Dokumentar,,,,,
Vikingerne kommer ! 8 vilde vikingefortællinger,Mauri og Tarja Kunnas,"1. udgave fra 2007 på forlaget Carlsen. Indb. 24x30cm. 53 sider, illustreret med tegninger. som ny",ISBN: 978876260596,33687.jpg,35,6,, Børn & forældre, Børnebøger,,,,,,,,,
Julemandens værksted- en idebog om julehygge og juleforberedelser,Margrethe Petersen,"1. udgave fra 1990 på forlaget Høst &s;øn. Hft. 96 sider, som ny",ISBN: 8789484126,34025.jpg,45,6,, Faglitteratur, Hobby,,,,,,,,,
Unitd States of America- flot fotoreportagebog,Patricia Raffin," fra 1993 på forlaget Tiger Books. Indb.24x29cm, 128sider, som ny",ISBN: 855012995,33751.jpg,40,6,Teksten er på engelsk, Rejsebøger/guides, Amerika/USA,,,,,,,,,
Ydmyget - Virkelighedens Verden,Kiranjit Ahluwalia og Rahila Gupta, fra 1997 på forlaget Egmont Wangel,ISBN: 87-608-0571-4,33555.jpg,20,6,"Ti års hustruvold fik tragiske konsekvenser.
Indb. 323sider. 542g.", Dokumentar,,,,,,,,,,
Døden vil ikke have mig - Virkelighedens Verden,Yolande Mukagasana og Patrick May, fra 1998 på forlaget Vinten,ISBN: 87-612-0258-4,33784.jpg,20,6,"Yolande mistede mand og 3 børn - men overlevede selv masakren, folkemordet i Rwanda.
Indb. 237sider. 435g.", Studiebøger, Dokumentar,,,,,,,,,
Porcelænsmaling - de første strøg,Gunhild Jørgensen, fra 1973 på forlaget Høst og søn,ISBN: 87-14-27312-8,33559.jpg,25,4,"Indb. 17x21,5cm. 92sider, illustreret. Fin stand. 292g.", Faglitteratur, Håndarbejde/hobby/håndværk,,,,,,,,,
Porcelænsmaling - strøg og dekoration,Gunhild Jørgensen, fra 1970 på forlaget Høst og søn,ISBN: 87-14-27008-0,34130.jpg,20,4,"Indb. 96sider, illustreret. Udg.biblioteksbog. God stand. 394g.", Faglitteratur, Håndarbejde/hobby/håndværk,,,,,,,,,
Radiofjernstyring af modelskibe,Mogens Boman, fra 1980 på forlaget Berlingske,ISBN: 87-19-40115-9,34092.jpg,20,4,"Indb. 120sider, illustreret. Udg.biblioteksbog i god stand. 371g.", Faglitteratur, Hobby,,,,,,,,,
Pendulering i Praksis - en brugsbog for begyndere og viderekommende,D. Jurriaanse, fra 1985 på forlaget Bogan,ISBN: 87-7466-088-8,33538.jpg,25,4,"Hft. 95sider, illustreret. 135g.", Okkultisme, Krop & sind,,,,,,,,,
Succes som taler,Harry Motor,1. udgave fra 1989 på forlaget Borgen,ISBN: 87-418-8861-8,33317.jpg,20,5,Hft. 158sider. 207g., Kommunikation,,,,,,,,,,
Ska' det være kunst! - billedkunst i hverdagslys,Johs. Stræde,1. udgave fra 1988 på forlaget AOF,ISBN: 87-7403-453-7,33404.jpg,20,5,"Hft. 141sider, illustreret. 467g.", Studiebøger, Kunsthistorie,,,,,,,,,
Komma's bog om Opfindelser - illustreret i tekst og billeder,Jan Melskens (red), fra 1986 på forlaget Komma,ISBN: 87-7512-256-1,33170.jpg,30,4,"Indb. 318sider, illustreret. 766g.", Industri, Håndværk, Dokumentar,,,,,,,,
Sjov med snor og papir - 23 spændende tryllekunster,Conny Ray (red), fra 1994,ISBN: Carlsen,33227.jpg,20,4,"Hft. 32sider, illustreret. 110g.", Faglitteratur, Legetøj, Hobby,,,,,,,,
Håndbog i AKTIVITETER,Johnna Baggers,"1. udgave fra 2009 på forlaget Munksgaard - Hft. 115sider, illustreret.  Som ny.",ISBN: 978-87-628-0941-3,33722.jpg,75,6,"Håndbog i aktiviteter er en opslagsbog for personale, der arbejder i ældresektoren. Bogen rummer en guldgrube af forslag til aktiviteter, som kan være med til at skabe indhold og kvalitet i hverdagen, primært for beboerne men også for plejepersonalet. Bogen er skrevet af Johnna Baggers, der er social- og sundhedsassistent og ansat ved plejeboligerne Østervang på Frederiksberg som demenskoordinator. Forfatteren anbefaler at starte med de aktiviteter, man har mest lyst til sammen med de beboere, man kender bedst. Hun anbefaler ligeledes, at man altid laver en aktivitetsplan, og her kan bogens eksempler være til stor hjælp. Hanne Reintoft har skrevet forordet til bogen, og hun skriver bl.a.: „For de, der arbejder i ældresektoren og gerne vil være med til at skabe trivsel og velbefindende, foreligger her en praktisk lille håndbog, som kan være til stor hjælp for at gøre det bedre. Bogen handler om, hvor vigtigt det er med aktiviteter, store som små. Den er et storslået oplæg til ideer om at skabe sådanne aktiviteter fra læsegrupper til sæbekogning, bagning og chokoladefremstilling“.", Studiebøger, Pædagogik, Faglitteratur,,,,,,,,
Hilsen fra min kuglepen - 16 kronikker og Essays.,Godfred Hartmann, fra 1994 på forlaget Cicero,ISBN: 87-7714-153-9,33356.jpg,35,5,"Indb. 136sider, illustreret med tegninger.", Skønlitteratur, Fortællinger,,,,,,,,,
ANGELS - A Joyous Celebration,"Elaine M. Bucher, editor", fra 1996 på forlaget Courage Books,ISBN: 1-56138-743-6,33794.jpg,125,6,"Med over 50 farvefotos af malerier og andre kunstværker, med korte noter af poeter, forfattere og malere. Engelsk tekst.
Indb. 28x28cm. 126sider. 1148g.", Studiebøger, Kunst & kultur,,,,,,,,,
På skansen - Dansk forsvarspolitik fra Murens fald til Kosovo,Hans Hækkerup, fra 2002 på forlaget Lindhard og Ringhof,ISBN: 87-595-1904-5,33760.jpg,30,6,"Hft. 237sider, illustreret. Som ny. 515g.", Politik, Historie:Danmark,,,,,,,,,
Visdommens Hav,Dalai Lama, fra 1990 på forlaget Lindhardt og Ringhof,ISBN: 87-595-0067-0,33552.jpg,30,6,"Den Tibetanske Statsleder i exil, den 14. Dalai Lama, fortæller, hjerteligt, bramfrit og med humor.
Hardback, 105sider. 205g.", Orientalsk Filosofi og Livskunst,,,,,,,,,,
Overdrive - Bill Gates and the race to control Cyberspace,James Wallace, fra 1997 på forlaget John Wiley &sons,ISBN: 0-471-18041-6,33523.jpg,30,5,Indb. 307sider. 704g., Dokumentar, IT-bøger, Datalogi,,,,,,,,
Mytologi - Digte,Klaus Rifbjerg, fra 1970 på forlaget Gyldendal,ISBN: 87-00-30081-0,33265.jpg,25,4,"Hft. 99sider, uopskåret. 224g.", Skønlitteratur, Digte,,,,,,,,,
Kvindelist og Kongelast - Blide duer og stride fruer i Danmarkshistorien,Rie Krarup, fra 1985 på forlaget Danmark,ISBN: 87-15-05057-2,33574.jpg,30,5,"Indb. 20x25cm. 205sider, illustreret. Fin stand. 821g.", Historie:Danmark, Biografier,,,,,,,,,
Karen Blixen - en digterskæbne i billeder,Frans Lasson og Clara Selborn,2. udgave fra 1986 på forlaget Gyldendal,ISBN: 87-01-51982-4,33716.jpg,30,4,"Paperback, 21x26cm. 227sider, illustreret. 902g.", Biografier,,,,,,,,,,
Sådan gik det til - Erindringer - Med et glimt i øjet fortæller den 100-årige Vilhelm Jung om sit liv som plantagebestyrer på Sumatra,Vilhelm Jung,3. udgave fra 1989 på forlaget Gyldendals Paperbacks 116sider illustreret med fotos. 185g.,ISBN: 87-00-63922-2,34029.jpg,25,4,Med forfatterens signatur på 1.side, Erindringer,,,,,,,,,,
Roses - a guide to cultivation,Janet Browne, fra 1993 på forlaget Pavilion,ISBN: 1-85793-0576,33241.jpg,30,6,"Engelsk bog om Roser. 
1) Roses in History. 2) Roses for your Garden. 
3) Roses in Lore & Art. 4) Care and Cultivation. Indb. 13x22,5cm. 64sider, illustreret. Som ny. 257g.", Faglitteratur, Hus & have,,,,,,,,,
Porcelæn - fra antik Kinesisk til Europæisk i 18. Og 19. Århundrede,Eileen Aldridge, fra 1971 på forlaget Lademann,ISBN: 87-15-07050-6,33223.jpg,30,4,"Indb. 158sider, illustreret. 308g.", Antikviteter,,,,,,,,,,
Bo Bedre's Lav det selv til Haven - enkle havemøbler - læhegn - solure - pergolaer - terrasser - grill og tips,Else Matthison-Hansen (red), på forlaget Fogtdals bøger,ISBN: 87-427-7703-8,33782.jpg,20,4,"Hft. 74sider, illustreret med fotos og arbejdstegninger. 178g.", Faglitteratur, Hobby, Hus & have,,,,,,,,
Matematisk opslagsbog,William Karush, fra 1984 på forlaget Politiken,ISBN: 87-567-3913-3,33785.jpg,30,6,Hft. 359sider. Som ny. 282g., Studiebøger, Matematik,,,,,,,,,
Kryds & Tværs Løseren - Krydsord ogen der går direkte på problemet med at finde det rigtige ord,Henning Kragh Pedersen, fra 1991 på forlaget Lademann,ISBN: 87-15-08596-1,33322.jpg,30,6,"Hardback, 587sider. Som ny. 701g.", Faglitteratur, Ordbøger & leksika, Hobby,,,,,,,,
Mine 1001 dage - Kejserinden af Iran's selvbiografi,Farah Diba, på forlaget Lademann,ISBN: 87-15-00977-7,33961.jpg,20,5,Indb. 219sider. 270g., Fortællinger, Biografier,,,,,,,,,
Lille Sven - en BOPA-sabotør 1943-1945,Gorm Rasmussen, fra 2009 på forlaget Gyldendal,ISBN: 978-87-02-07490-1,33432.jpg,40,6,Hft. 275sider. Som ny. 409g., Fortællinger, Danmarks besættelse,,,,,,,,,
Lad os plante et træ - Prædikener fra Sct. Pauls Kirke,H. H. Siegumfeldt, fra 1972 på forlaget Aros,ISBN: 87-7003-220-3,33253.jpg,20,4,Hft. 132sider. 200g., Studiebøger, Teologi,,,,,,,,,
Hvidsten Gruppen - Jens Stenz' erindringer,Niels Gyrsting, fra 2008 på Frihedsmuseets venners forlag,ISBN: 978-87-88214-73-4,33927.jpg,50,6,"Medlem af Hvidsten Gruppen, Jens Stenz, fortæller i sine erindringer om gruppens våbenmodtagelser og senere arrestation, fængsling og henrettelse samt om sit eget ophold i det tyske fængsel Dreibergen. Hft. 139sider, illustreret. 233g.", Erindringer, Dokumentar, Danmarks besættelse,,,,,,,,
Haven året rundt - Planlægning og pasning,Carin Swartström (red), fra 1986 på forlaget Wangel,ISBN: 87-7443-653-8,33961.jpg,15,4,"Indb. 65sider, illustreret. 282g.", Faglitteratur, Hus & have,,,,,,,,,
Plantesamfund - 20 plantebiotoper fra havstrand til højfjeld,Anne Bülow-Olsen og Susanne Larsen, fra 1977 på forlaget Gyldendal,ISBN: 87-01-24851-0,33718.jpg,20,5,"Indb. 128sider, illustreret. 280g.", Naturvidenskab, Biologi,,,,,,,,,
Musedetektiven i aktion,Walt Disney, fra 1997 på forlaget Egmont Wangel,ISBN: 87-608-0381-9,33831.jpg,20,5,"Hardback, illustreret med Disney-tegninger. 214g.", Skønlitteratur, Børnebøger,,,,,,,,,
Regine Olsens Dagbog. - forlovelseshistorien med Søren Kierkegaard,Erik Søndergaard Hansen og Johs. Nørregaard Frandsen (red),1. udgave fra 2001 på forlaget Hovedland,ISBN: 87-7739-533-6,34131.jpg,30,6,"Efter bruddet mellem Regine Olsen og Søren Kierkegaard forsvandt Kierkegaard ud af hendes liv, mens det omvendte ikke var tilfældet.
Forlovelshistorien mellem de to danner et af hovedsporerne i Søren Kierkegaards forfatterskab.
Hft. 82sider, illustreret. Som ny. 147g.", Erindringer, Litteraturhistorie,,,,,,,,,
Rimgræs - Haiku,Lone Munksgaard Nielsen, fra 2003 på forlaget Lindhof og Ringhof,ISBN: 87-595-2024-8,33980.jpg,20,6,Hft. 63sider. Som ny. 86g., Skønlitteratur, Digte,,,,,,,,,
Bedårende Orkideer - fra alle verdenshjørner,"Peter Göttfert, Anders Wigh. - Foto: Fredrik Persson"," fra 2001 på forlaget Egmont Lademann, Indb. 21x21cm. 64sider, illustreret. Fin stand",ISBN: 87-608-1563-9,33697.jpg,30,5,, Faglitteratur, Hobby, Botanik,,,,,,,,
Planter i krukker og potter,Eyvind Thorsen,"1. udgave fra 1992 på forlaget Politiken, Indb. 128sider, illustreret. God stand",ISBN: 87-608-0245-6,33483.jpg,30,5,, Faglitteratur, Hobby, Hus & have,,,,,,,,
Hvorfor er de sorte? - Afrika fra syd til nord,Lars-Eric Berg,1. udgave fra 1993 på forlaget Mellemfolkeligt Samvirke,ISBN: 87-7028-690-6,33303.jpg,40,6,"Indb. 22x25,5cm. 127sider, illustreret af Martin Ehrling. Som ny. 621g.", Undervisning, Studiebøger, Etnografi og Antropologi, Afrika,,,,,,,
Indsigt og Udsyn - Aktiviteter og Erindringer,"J. P. Skou, professor dr.agro", fra 2007 på forlaget Viben,ISBN: 978-87-988073-2-2,33410.jpg,40,6,Hft. 18x25cm. 285sider. Som ny. 614g., Erindringer, Biografier,,,,,,,,,
Brandfolkenes Stiftelsesforening 1868-1993,Leif Nielsen, fra 1993,,34102.jpg,30,6,"Udgivet af Brandfolkenes Stiftelsesforening i anledning af foreningens 125års jubilæum 8.april 1993.
Hft. 23x18cm. 64sider om Brandvæsenets historiske udvikling, illustreret med fotos. 175g.", Studiebøger, Dokumentar,,,,,,,,,
Husdyrbruget - en faglig vejledning i Landmandens daglige arbejde for 75år siden.,Evald Toftemark (red.), fra 1939 på Skandinavisk bogforlag,,33596.jpg,50,4,"En faglig vejledning i Landmandens daglige arbejde med husdyr, Heste, Kvæg, Svin, Får og Fjerkræ. Skrevet af danske Landbrugs-og Højskolemænd. Indb. 640s. illustreret. 2,5kg.", Landbrug & gartneri, Husdyr,,,,,,,,,
Maleriets Historie - Fra istidens hulemalerier til vor tids store mestre,Ejner Johansson og Erik Clemmensen (red.), fra 1962 på forlaget Union,,34116.jpg,25,4,"Indb. 320sider, illustreret med et tusind reproduktioner i farver. 964g.", Kunsthistorie,,,,,,,,,,
FRANS HALS,Willem Beeren, fra 1963 på forlaget Blandford Press,,33154.jpg,15,4,Hft. 90s. illustreret med gengivelser af malerier af Frans Hals f.1580 engelsk tekst. 103g., Studiebøger, Kunsthistorie,,,,,,,,,
"Den store grillbog - alt om at grille, marinere og lave rubs",Jonas Borssén,"1. udgave fra 2011 på forlaget Parragon, indb. 320 sider, 23x28cm, som ny",ISBN: 9781445447186,34022.jpg,75,6,, Faglitteratur, Mad & gastronomi, Kogebøger,,,,,,,,
Hot Wok - Intens smag og aroma -- det skønne resultat af stegning i wok,Hugh Carpenter & Teri Sandison,"1. udgave fra 1997 på forlaget Aschehoug, Indb. 112 sider, 26x26cm, som ny",ISBN: 871112507,33389.jpg,50,6,, Faglitteratur, Mad & gastronomi, Kogebøger,,,,,,,,
Mal dit hjem - med vandbaserede farver - Anvendelse og teknikker,John Sutcliffe,1. udgave fra 1997 på forlaget Borgen. Indb. 26x26cm. 165sider. Som ny,ISBN: 8721005893,33738.jpg,100,6,, Håndarbejde/hobby/håndværk, Faglitteratur, Bolig,,,,,,,,
"Kærestebogen - 20 danske kærlighedshistorier, fortalt af kendte forfattere",Asger Schnack (red), fra 1996 på forlaget Aschehoug. Indb. 191sider. Udg.biblioteksbog,,33476.jpg,20,4,, Noveller,,,,,,,,,,
"Fugle i vinterhaven - Alt om fodring, redekasser og foderpladser - ved vinduet, på altanen og i haven",Otto von Frisch, fra 1984 på forlaget Komma,ISBN: 87-7512-167-0,33620.jpg,20,4,"Paperback, 68sider, illustreret. God stand, men forsiden har været bukket.", Faglitteratur, Fugle,,,,,,,,,
Rembrandt-sagen,Daniel Silva,1. udgave fra 2011 på forlaget Gyldendal ,ISBN: 978-87-03-04801-7,33182.jpg,30,4,"Hardback, 350sider. 578gram", Skønlitteratur, Krimi/spænding,,,,,,,,,
De røde spioner - KGB's operationer i Danmark,Jakob Andersen med Oleg Gordievsky, fra 2002 på forlaget Høst og søn,ISBN: 87-14-29856-2,33811.jpg,100,5,"om den sovjetiske efterretningstjeneste KGB og dens virke på dansk grund, de danske medløbere og spioner, landsforrædere, agenter, skæg og blå briller. Det hidtil mest omfattende maleri af den skyggekrig, det kommunistiske Rusland førte på dansk grund. Indb. 809sider, illustreret. 1278g.", Studiebøger, Historie:Danmark, Dokumentar,,,,,,,,
Operation Hurricane - Efterretningsvirksomhed før og nu,Lars R. Møller, fra 2000 på forlaget Høst og søn - Hft. 496sider. Markeringer. 934g.,ISBN: 87-14-29571-7,33797.jpg,50,3,"Beskrivelse: En nations efterretningstjeneste er altid et spejl af nationen selv, og det er nationens ledelse, der stiller efterretningstjenesten de opgaver, den skal løse. Lars R. Møller fortæller, hvordan efterretningsvirksomhed har været bedrevet gennem mere end to tusinde år og viser, hvorledes den relaterer sig til krigsførelsens strategiske, taktiske og operative niveau. Det aktuelle spørgsmål er, om efterretningstjenesterne virkelig kan beskytte demokratiet?

""Fortræffelig, lettilgængelig indføring i efterretningsvirksomhed og dens historie. Og et skarpt forsvar for dens nødvendighed.""

- Bent Jensen, Jyllands-Posten

""Bogen må nærmest betragtes som en ‘håndbog’ for alle ‘spioninteresserede’ og en analyse af e-tjenesterne gennem tiderne med en klar konklusion: De kan ikke undværes!""", Krigs bøger, Dokumentar,,,,,,,,,
For Fred i Frihed i 50 år - Hjemmeværnsregion VI 1949-1999,Hjemmeværnsregion VI," fra 1999 på forlaget Hjemmeværnsregion VI, København",ISBN: 87-7717-153-5,33339.jpg,35,5,"Indb. 290sider, illustreret. 910g.", Studiebøger, Militaria, Dokumentar,,,,,,,,
For Himmelens Skyld,David Yallop, fra 1988 på forlaget Carit Andersen,ISBN: 87-424-4546-9,33461.jpg,35,4,Indb. 296sider. 790g., Studiebøger, Samfund & historie, Religion, Dokumentar,,,,,,,
Mystikkens verden - Drømmen om Utopia,Jørgen Pedersen (red), fra 1992 på forlaget Lademann,ISBN: 87-15-08849-9,33517.jpg,20,5,"Hardback, 24x28cm. 158sider, illustreret. 821g.", Spiritualitet, Okkultisme, Mystik/eventyr,,,,,,,,
Miguel Littíns Hemmelige Mission i Chile,Gabriel García Márquez,1. udgave fra 1988 på forlaget Klim - Hft. 132sider. 227g.,ISBN: 87-7724-038-3,33294.jpg,30,4,, Dokumentar,,,,,,,,,,
Verdens Danmark,Bjarne Hastrup, fra 2005 på forlaget Multivers - indb. 345sider. Som ny. 901g.,ISBN: 87-7917-133-8,33281.jpg,100,6,"- et klart overblik over det komplekse samspil mellem de størrelser, der har skabt, og driver den danske velfærd: de historiske forudsætninger, de folkelige initiativer, den sociale kapital, de politiske, økonomiske og erhvervsmæssige tiltag - og vores forhold til verden udenfor Danmark.", Studiebøger, Samfundsvidenskab,,,,,,,,,
Mit liv - Bill Clinton,Bill Clinton, fra 2004 på forlaget Lindhardt og Ringhof,ISBN: 87-595-2361-1,33702.jpg,50,5,Indb. 1043sider. Fin stand. 1503g., Historie:Verden, Erindringer, Biografier,,,,,,,,
En REJSE - politiske erindringer og selvbiografi,Tony Blair,2. udgave fra 2011 på forlaget Jyllands-Posten,ISBN: 978-87-400-0255-3,33181.jpg,50,5,Indb. 767sider. 1140g., Studiebøger, Historie:Verden, Erindringer, Dokumentar, Biografier,,,,,,
Brud med Moskva,Arkadij N. Sjevtjenko, fra 1985 på forlaget Gyldendal - Hft. 484sider. Fin stand. 636g.,ISBN: 87-00-93144-6,33394.jpg,40,4,"Sjevtjenko har en spændende historie at berette om sit dobbeltspil som sovjetisk topdiplomat ved FN og som leverandør af oplysninger til amerikanerne, og hans beskrivelse af afhopningen i 1978 - og om Khrusjtjov, Bresjnev og Gromyko - om deres reaktioner bag kulisserne i kritiske situationer.", Studiebøger, Rusland/Sovjetunionen, Politik, Dokumentar,,,,,,,
